name,sku,Category,supplier,purchase_price,selling_price,quantity_in_stock,expiry_date
Member,1,1,Williams Group,36.51,41.66,380,11/11/2025
Make,2,2,"Rivas, Lewis and Griffin",26.52,33.65,16,11/4/2025
Whom,3,0,Hines Group,51.54,67.11,14,1/7/2024
Theory,4,2,"Garcia, Jacobs and Martin",47.78,64.98,280,1/1/2025
Easy,5,3,Perkins and Sons,51.88,69.3,415,5/30/2025
Alone,6,0,Garcia LLC,154.17,179.43,217,1/11/2024
Democratic,7,5,Allen-Shelton,62.8,74.49,391,5/17/2024
Certainly,8,5,Ochoa-Cabrera,29.42,36.83,184,4/11/2025
Matter,9,5,Little-Anthony,124.71,177.44,374,6/23/2025
Strategy,10,3,Olsen PLC,111.88,166.62,194,9/5/2024
Rich,11,0,Lewis-Burton,114.89,164.5,317,10/10/2024
Name,12,5,Curtis Inc,119.7,165.4,24,2/15/2024
Coach,13,0,Vega-Griffin,53.3,64.8,41,5/23/2025
Moment,14,1,Johnson-Fitzpatrick,174.63,218.65,233,4/13/2024
Ball,15,0,"Rodriguez, Palmer and Wang",168.48,196.29,182,7/22/2025
Five,16,1,Wallace-Thompson,137.33,189.62,350,8/17/2025
Can,17,0,Wolf PLC,23.57,31.91,274,3/7/2025
Sing,18,0,Thomas Group,56.51,72.61,139,10/25/2025
Husband,19,0,Thompson-Tucker,140.75,167.19,167,10/29/2025
Tough,20,0,Perez LLC,53.52,59.56,162,12/18/2024
Next,21,3,Mcgee-Carroll,60.87,72.09,483,4/10/2024
Sing,22,2,"Hall, Clarke and Medina",176.51,216.38,336,1/10/2025
Two,23,3,"Alexander, Jones and Morgan",85.17,124.84,235,2/12/2025
Blood,24,1,"Keller, Cox and Price",60.33,72.31,288,3/13/2024
Thank,25,2,Peterson-Mckenzie,59.92,79.92,460,12/10/2025
Image,26,2,Flynn-Rowe,85.89,102.01,71,1/17/2024
Enough,27,2,Lee PLC,103.77,145.52,441,12/28/2025
Factor,28,0,Fisher-Holder,39.04,45.44,349,11/1/2025
Score,29,3,Dickerson-Reese,123.32,154.63,306,9/16/2024
